k vk error
3.200366399999999834e-01 7.271386700000000147e-03 9.665928700000000519e-04
3.297347199999999812e-01 7.060631599999999709e-03 9.354049099999999731e-04
3.394327999999999790e-01 7.339452399999999918e-03 5.930308299999999689e-04
3.491308799999999768e-01 7.510329100000000084e-03 4.658118400000000074e-04
3.588289599999999746e-01 7.842878799999999581e-03 5.400333900000000523e-04
3.685270399999999724e-01 7.063145699999999645e-03 3.200812800000000201e-04
3.782251200000000257e-01 7.052760100000000400e-03 5.510350999999999921e-04
3.879232000000000236e-01 7.111312800000000114e-03 7.273539099999999690e-04
3.976212800000000214e-01 7.083038300000000370e-03 5.000798299999999977e-04
4.073193600000000192e-01 7.037008600000000183e-03 4.357515099999999773e-04
4.170174400000000170e-01 6.897139400000000184e-03 5.197381799999999889e-04
4.267155200000000148e-01 7.122303800000000240e-03 6.211306899999999645e-04
4.364136000000000126e-01 6.793854799999999618e-03 5.466800599999999946e-04
4.461116800000000104e-01 5.918193599999999749e-03 5.734276499999999476e-04
4.558097600000000083e-01 6.170234600000000340e-03 5.637322300000000052e-04
4.655078400000000061e-01 5.914808300000000234e-03 5.827308599999999781e-04
4.752059200000000039e-01 5.754356300000000070e-03 4.672063800000000118e-04
4.849040000000000017e-01 5.673892800000000097e-03 6.307986299999999904e-04
4.946020799999999995e-01 5.480448199999999812e-03 4.453748700000000017e-04
5.043001599999999973e-01 4.607204299999999829e-03 4.264575799999999997e-04
5.139982400000000506e-01 3.912411600000000392e-03 2.764033600000000146e-04
5.236963199999999929e-01 3.877546200000000012e-03 2.780286600000000073e-04
5.333944000000000463e-01 3.759418400000000184e-03 3.463728899999999776e-04
5.430924799999999886e-01 3.215539999999999805e-03 2.452145000000000084e-04
5.527905600000000419e-01 3.266165499999999864e-03 2.467298199999999782e-04
5.624886399999999842e-01 3.018103099999999879e-03 2.328315200000000032e-04
5.721867200000000375e-01 3.069690400000000055e-03 2.510336600000000261e-04
5.818847999999999798e-01 3.512987400000000104e-03 3.041159899999999858e-04
5.915828800000000331e-01 3.250870900000000195e-03 2.135366699999999892e-04
6.012809599999999755e-01 3.075339600000000055e-03 2.009764099999999964e-04
6.109790400000000288e-01 3.051598300000000086e-03 1.669653600000000097e-04
6.206771199999999711e-01 3.016815500000000119e-03 1.771952799999999926e-04
6.303752000000000244e-01 2.920850400000000145e-03 2.325342199999999950e-04
6.400732799999999667e-01 2.944929299999999878e-03 2.912172600000000186e-04
6.497713600000000200e-01 2.805703100000000137e-03 2.805897400000000041e-04
6.594694399999999623e-01 2.684879600000000029e-03 2.685091700000000257e-04
6.691675200000000157e-01 2.496043900000000180e-03 2.931268000000000003e-04
6.788655999999999580e-01 2.448780499999999964e-03 2.443315799999999888e-04
6.885636800000000113e-01 2.407442499999999826e-03 1.748742899999999997e-04
6.982617599999999536e-01 2.353365300000000160e-03 1.623573300000000002e-04
7.079598400000000069e-01 2.383161300000000062e-03 1.616820700000000063e-04
7.176579199999999492e-01 1.969680000000000129e-03 1.738525599999999867e-04
7.273560000000000025e-01 2.009109600000000013e-03 1.318914099999999895e-04
7.370540799999999448e-01 2.030160999999999945e-03 1.683573500000000119e-04
7.467521599999999982e-01 2.110995100000000093e-03 1.639632000000000025e-04
7.564502400000000515e-01 2.313979399999999999e-03 2.304384700000000109e-04
7.661483199999999938e-01 2.416231699999999826e-03 2.854412299999999959e-04
7.758464000000000471e-01 2.174993499999999802e-03 1.828151699999999887e-04
7.855444799999999894e-01 2.075994199999999911e-03 1.679777200000000042e-04
7.952425600000000427e-01 2.069256499999999957e-03 1.284876899999999990e-04
8.049406399999999850e-01 2.101004599999999837e-03 1.701869599999999993e-04
8.146387200000000384e-01 1.912592100000000102e-03 2.010481099999999978e-04
8.243367999999999807e-01 1.862153299999999958e-03 1.625384599999999996e-04
8.340348800000000340e-01 1.770892100000000073e-03 1.454385199999999947e-04
8.437329599999999763e-01 2.008410899999999843e-03 2.157989100000000057e-04
